=== local docker images from vouch builds (FROM scratch + GAR-tagged) ===
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529152748-36deb501d/image:k260529152748-36deb501d d6d75219d977 421MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529152748-36deb501d/vouch:k260529152748-36deb501d d6d75219d977 421MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260603133210-c3461b2e2/image:k260603133210-c3461b2e2 d6d75219d977 421MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260603133210-c3461b2e2/vouch:k260603133210-c3461b2e2 d6d75219d977 421MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260605075134-c7c651b1b/image:k260605075134-c7c651b1b d6d75219d977 421MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260605075134-c7c651b1b/vouch:k260605075134-c7c651b1b d6d75219d977 421MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260524151919-fd3e8d7a3/image:k260524151919-fd3e8d7a3 d6d75219d977 421MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260524151919-fd3e8d7a3/vouch:k260524151919-fd3e8d7a3 d6d75219d977 421MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260603133209-ec2896c38/image:k260603133209-ec2896c38 e785fc9fc73b 973MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260524151918-744eb9e29/vouch:k260524151918-744eb9e29 e785fc9fc73b 973MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260527004912-12d64f4e1/image:k260527004912-12d64f4e1 e785fc9fc73b 973MB
